 type|subtype|name|abbrev|notes|cost|humanity cost|surgery|number of options|source
 BIOWARE||Alpha Tuff Bone Skeletal Enh||BOD +1 for lift; carry; BTM vs HH/Melee|1300|1d6/2|M||Chromebook 4 pg.18
 BIOWARE||Alterable Prints||Programmable Nanotech altered prints (20 secs)|550|1|M||Wildside pg.65
 BIOWARE||Altered DNA||DNA altered using a tailored retrovirus|3000|0|N||Wildside pg.65
 BIOWARE||Altered Fingerprints||Fingerprints are altered|300|0|N||Wildside pg.65
 BIOWARE||Altered Retinas||Retinas altered|800|0.5|M||Wildside pg.65
 BIOWARE||Anti -Plague Nanotech||+3 vs diseases and bio war agents|1750|0.5|N||Chromebook 1 pg.39
 BIOWARE||AntiDazzle Nict Membrane||Flash protection; +4 to Saves vs eye irritants|500|1d6/2|M||When Gravity Fails pg.59
 BIOWARE||Beta Tuff Bone Skeletal Enh||BOD +2 for lift;carry; BTM vs HH/Melee; ATT -1|2800|1d6|M||Chromebook 4 pg.18
 BIOWARE||Diet -Mite||Screens what you eat passing on what's needed|1000|1d6/2|N||Listen Up You Primtive Screwheads pg.102
 BIOWARE||Dornier -Bauer Circulatory Sphincters||+2 to Stun/Shock Saves after a Serious+wound|3200|1d6|MA||Chromebook 4 pg.22
 BIOWARE||Dornier -Bauer Neural Bridge||Ambidexterity; no -3 penalty with off hand|600|1d6+2|MA||Chromebook 4 pg.22
 BIOWARE||Enhanced Antibodies|EA|Improves Healing by +1 point per day|3000|1d6/2|N||Cyberpunk 2020 pg.85
 BIOWARE||Erased Fingerprints||Fingerprints erased|100|0|N||Wildside pg.65
 BIOWARE||Fresco 's Personal Nano-Groomers||+2 to +4 to Personal Grooming|400|0.5|N||Chromebook 3 pg.26
 BIOWARE||Full -Spectrum Immuno-Booster||+4 vs illness/infection/poison/drugs; +1 Healing|7500|1/2d6+1|N||Neotribes pg.90
 BIOWARE||Grafted Muscle I|GR|+1 BODY|1000|2d6|MA||Cyberpunk 2020 pg.85
 BIOWARE||Grafted Muscle II|GR2|+2 BODY|2000|2d6|MA||Cyberpunk 2020 pg.85
 BIOWARE||IHAG Nictating Membrane||Can see in difficult conditions. Replace 6-8 mth|300|1d6/3|N||Firestorm: Stormfront pg.28
 BIOWARE||Metaheme Hemological Replacement||+1 MA;Endurance;+4 min breath; -1 poison/dis|1300|1d6/2|M||Chromebook 4 pg.18
 BIOWARE||Muscle Enhancement||+1 to BT; but not for BTM|1000|1d6/3|N||Deep Space pg.60
 BIOWARE||N -A C Freezeban Bioconstruct||+1 Wilderness Survival/Endurance in -10°C|650|1|MA||Chromebook 4 pg.24
 BIOWARE||N -A C Kaloric Secondary Gut||Stores 2 days worth of food|750|1d6/2|MA||Chromebook 4 pg.24
 BIOWARE||N -A C Quickclot Hemofibrinic Node||Wound states treated as one less; 10% stroke|3000|1d6|MA||Chromebook 4 pg.25
 BIOWARE||Nano optical Upgrade||+2 nightvision|1500|1d6/2|N||Chromebook 2 pg.8
 BIOWARE||NanoAuditory Rebuild||Enhanced Hearing Range\\& Level Damper|1500|1d6/2|N||Chromebook 4 pg.20
 BIOWARE||Nanosurgeons|NSR|Doubles natural Healing rate|6000|1d6/2|N||Cyberpunk 2020 pg.85
 BIOWARE||NeoAppendix||+2 to Wilderness Survival for food|500|1d6/2|MA||Chromebook 4 pg.19
 BIOWARE||NeoLungs||Hold breath twice as long as normal|1000|1d6|CR||Chromebook 4 pg.21
 BIOWARE||Nictating Membrane||Eye protection; +4 to Saves vs eye irritants|400|1d6/2|M||When Gravity Fails pg.59
 BIOWARE||Nitrogen Binders||Reduces depressurization by up to 100%|1400|1d2|N||Chromebook 4 pg.17
 BIOWARE||Programmable Retinas||Project different pre-set patterns (1 min)|1600|1|M||Wildside pg.65
 BIOWARE||Replitech Toxin Screen||90% chance of vomiting if toxins are eaten|3400|1d6/2|MA||Chromebook 4 pg.27
 BIOWARE||Revolution Genetics Flashlite Implant||Non-glare; semi-focused glow; 1m range|290|1d2|M||Chromebook 4 pg.26
 BIOWARE||Revolution Genetics Poison Glands- Hands - Biotoxin I||Can be used to coat Rippers or Wolvers|1100|2d6+3|MA||Chromebook 4 pg.23
 BIOWARE||Revolution Genetics Poison Glands- Hands - Hallucinogen||Can be used to coat Rippers or Wolvers|800|2d6+3|MA||Chromebook 4 pg.23
 BIOWARE||Revolution Genetics Poison Glands- Hands - nausea/somatic||Can be used to coat Rippers or Wolvers. Choose what kind.|500|2d6+3|MA||Chromebook 4 pg.23
 BIOWARE||Revolution Genetics Poison Glands- Teeth - Biotoxin I||Natural fangs that inject poison when you bite|1000|3d6|MA||Chromebook 4 pg.23
 BIOWARE||Revolution Genetics Poison Glands- Teeth - Halllucinogen/Nausea/Somatic||Natural fangs that inject poison when you bite. Choose what kind.|500|3d6|MA||Chromebook 4 pg.23
 BIOWARE||Revolution Genetics Tailored Pheromones-Confu||-1 INT\\& Initiative (1m). Nasal filters60% effec|2500|1d6/2|M||Chromebook 4 pg.23
 BIOWARE||Revolution Genetics Tailored Pheromones-Gullible||+1 to Persuasion. Nasal filters 60% effective|2000|1d6/2|M||Chromebook 4 pg.23
 BIOWARE||Revolution Genetics Tailored Pheromones-Love||+1 to Seduction. Nasal filters 60% effective|1000|1d6/2|M||Chromebook 4 pg.23
 BIOWARE||Sabre Serum RNA Mod||Modifiers +2 MA;+3 BOD; +2 REF; +1 Heal; 60 day wait|0||N||Interface 1 Issue2 pg.9
 BIOWARE||Sinus Reconstruction||Provides pressure equalization. 200m depth|1500|1d6/2|CR||Firestorm: Stormfront pg.28
 BIOWARE||Sunblocker Sunscreen||Prevents sunburn; reduces skin cancer risk|250|1|M||Chromebook 4 pg.20
 BIOWARE||T -Maxx Ileocecal Siphon||Function without water for 24 to 48hrs|500|1|MA||Chromebook 4 pg.28
 BIOWARE||Toxin Binders|TBN|+4 to Poison/Drug Saves|3000|1d6/2|N||Cyberpunk 2020 pg.85
 BIOWARE||UV Blockers||UV/IR resistance|1500|1d6/2|N||When Gravity Fails pg.60
 BIOWARE||Water Refiltration System||Triples length of survival time without water|2500|1d6/2|MA||When Gravity Fails pg.60
 BIOWARE|BIOTECH|Anti-Trauma||+2 to Death Saves for 12 hours; Take one a day max|4000|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Endurance||Ignore fatigue 12 hrs; x2 food; 1d3-1d6 damage; Take one a day max|1200|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Ignore Pain||+4 to Stun Saves for 12 hours; -2 tactile sense; Take one a day max|1800|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +1 ATT Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|1600|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +1 BOD Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|3400|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +1 MA Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|2700|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +1 REF Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|5000|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +2 ATT Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|3200|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +2 BOD Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|6800|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +2 MA Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|5400|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +3 ATT Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|4800|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +3 MA Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|8100|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Permanent +4 MA Increase||Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|10800|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Preparatory DNA Mapping||Required for all biotech|2700|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Reduced Oxygen Demand||Can breathe smog;Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|5900|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Skill +1||3 hours; 1 in 1d10 chance of -1 in skill; Over one/day = 80% lose 2d6 skill/amnesia|600|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Skill +2||3 hours; 2 in 1d10 chance of -1 in skill; Over one/day = 80% lose 2d6 skill/amnesia|1800|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Skill +3||3 hours; 3 in 1d10 chance of -1 in skill; Over one/day = 80% lose 2d6 skill/amnesia|5000|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|Toughened Skin||6SP Soft Armor; can't be told from normal skin; Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|8300|0|N||Eurosource Plus pg.105
 BIOWARE|BIOTECH|UV Resistance||No sunscreen needed; Temporary; Requires Prepatory DNA Mapping. If existing cyber HC10+ Double cost.|7600|0|N||Eurosource Plus pg.105
 BIOWARE|MUSCLE BONE LACE|Advanced Muscle and Bone Lace I||Increases BODY +1|1000|1d2|N||Chromebook 4 pg.17
 BIOWARE|MUSCLE BONE LACE|Advanced Muscle and Bone Lace II||Increases BODY +2|1500|1d6/2|N||Chromebook 4 pg.17
 BIOWARE|MUSCLE BONE LACE|Advanced Muscle and Bone lace III||Increases BODY +3|3000|1d6+1|N||Chromebook 4 pg.17
 BIOWARE|MUSCLE BONE LACE|Muscle and Bone Lace|MBL|Raises BODY by +2|1500|1d6/2|N||Cyberpunk 2020 pg.85
 BIOWARE|NEURAL ENHANCEMENT|Enhanced Hearing: Amplified Hearing||Max of 2 Enhanced Hearing|1200|2|M||Deep Space pg.60
 BIOWARE|NEURAL ENHANCEMENT|Enhanced Hearing: Enhanced Range||Max of 2 Enhanced Hearing|1200|2|M||Deep Space pg.60
 BIOWARE|NEURAL ENHANCEMENT|Enhanced Sense of Smell||Same effects as Olfactory Boost|1200|2|M||Deep Space pg.60
 BIOWARE|NEURAL ENHANCEMENT|Enhanced Sight: Color Shift||Max of 2 Enhanced Sight|1200|2|M||Deep Space pg.60
 BIOWARE|NEURAL ENHANCEMENT|Enhanced Sight: Image Enhancement||Max of 2 Enhanced Sight|1200|2|M||Deep Space pg.60
 BIOWARE|NEURAL ENHANCEMENT|Enhanced Sight: Infrared||Max of 2 Enhanced Sight|1200|2|M||Deep Space pg.60
 BIOWARE|NEURAL ENHANCEMENT|Enhanced Sight: Low Light||Max of 2 Enhanced Sight|1200|2|M||Deep Space pg.60
 BIOWARE|NEURAL ENHANCEMENT|Enhanced Sight: Telescopic||Max of 2 Enhanced Sight|1200|2|M||Deep Space pg.60
 BIOWARE|NEURAL ENHANCEMENT|Enhanced Sight: Ultraviolet||Max of 2 Enhanced Sight|1200|2|M||Deep Space pg.60
 BIOWARE|NEURAL ENHANCEMENT|Reflex Boost||+1 REF(max +2). 25% chance of -1 Stun/level|3500|1d6+3|N||Deep Space pg.60
 BIOWARE|SKIN WEAVE|Chem Weave|CSKW|+4 to Chemical Saves; pallid skin is 8SP vs acid|2000|1d6+3|N||Deep Space pg.60
 BIOWARE|SKIN WEAVE|Rad Weave|RSKW|Silvery skin provides radiation protection of 1 RSP|1500|2d6|N||Deep Space pg.60
 BIOWARE|SKIN WEAVE|ThermalWeave|TSKW|Silvery skin increases Heat resistance to 107°F|1500|1d6+3|N||Deep Space pg.60
 BIOWARE|SKIN WEAVE|Vac Weave|VSKW|Protection against decompression; need optics|5000|1d6|MA||Deep Space pg.60
 BIOWARE|SKINWEAVE|LifeSaver Skinweave|LSSKW|Adds +1 healing per day|4500|1d6/2+1|N||Chromebook 1 pg.39
 BIOWARE|SKINWEAVE|Skinweave SP12|SKW|12 SP;50% chance-1 ATTR loss; DIFF 20 to spot|2000|2d6|N||Cyberpunk 2020 pg.85
 BIOWARE|SKINWEAVE|Upgraded Skinweave SP10|SKW10|10 SP;no ATTR loss; DIFF 25 to spot|1600|1d6+3|N||Chromebook 2 pg.9
 BIOWARE|SKINWEAVE|Upgraded Skinweave SP14|SKW14|14 SP;-1 ATTR loss; DIFF 20 to spot|2400|2d6+2|N||Chromebook 2 pg.9
 BIOWARE|SKINWEAVE|Upgraded Skinweave SP16|SKW16|16 SP;-2 ATTR loss; DIFF 15 to spot|2750|2d6+4|N||Chromebook 2 pg.9
 BIOWARE|SKINWEAVE|Upgraded Skinweave SP6|SKW6|6SP; no ATTR loss; DIFF 30 to spot|1000|1d6|N||Chromebook 2 pg.9
 BIOWARE|SKINWEAVE|Upgraded Skinweave SP8|SKW8|8SP; no ATTR loss; DIFF 30 to spot|1250|1d6+1|N||Chromebook 2 pg.9
 BODY PLATING||Cowl|SKUL|head SP 25|200|1d6|MA||Cyberpunk 2020 pg.93
 BODY PLATING||CyberFacial Remounts: Evil Eye||Covers 1 eye; -1 ATT; SP6 15% to hit|150|1d6|MA||Chromebook 3 pg.33
 BODY PLATING||CyberFacial Remounts: Jigsaw||-1 ATT; SP12 25% protect|250|2d6|MA||Chromebook 3 pg.33
 BODY PLATING||CyberFacial Remounts: Twoface||-2 ATT; SP18; 50% protect|350|3d6|CR||Chromebook 3 pg.33
 BODY PLATING||Faceplate|FACE|Face SP 25|400|4d6|CR||Cyberpunk 2020 pg.93
 BODY PLATING||Torso Plate|TORS|Torso SP 25. -3 REF|2000|3d6|MA||Cyberpunk 2020 pg.93
 BODY PLATING||Total Body Plating||SP 20; REF-3; ATTR/2; -1 Stealth|6800|8d6|CRx2||Chromebook 2 pg.9
 BODY PLATING|OPTION|Dummy Facemasks|DFM|Detachable faceplates; cost 25-500eb|250|0|N||Solo of Fortune 2 pg.69
 BODY PLATING|OPTION|Front Optic Mount|FOM|Allows up to 5 optics to be mounted. -1 ATTR|1000|4d6|MA||Cyberpunk 2020 pg.93
 BODY PLATING|OPTION|Reactive Body Plating|RBP|Detects laser\\& smart sights; REF&gt;10 dodge|6000|1d6|MA||Solo of Fortune 2 pg.70
 BODY PLATING|OPTION|Sensory Extensions|RABB|Antenna with 1 cyber optic and mic|500|3d6|M||Cyberpunk 2020 pg.93
 BODY PLATING|OPTION|Spyke!Furniture: Arms|SFA|1d6 Knife AP;|450|2|N||Chromebook 3 pg.30
 BODY PLATING|OPTION|Spyke!Furniture: Head|SFH|1d3+1 dmg Knife AP;|400|1|N||Chromebook 3 pg.30
 BODY PLATING|OPTION|Spyke!Furniture: Legs|SFL|1d6+1 Knife AP;|600|2|N||Chromebook 3 pg.30
 BODY PLATING|OPTION|Spyke!Furniture: Torso|SFT|1d3+2 Knife AP;|500|3|N||Chromebook 3 pg.30
 CHIPWARE||Chipware Socket||Holds 10 chips. Can 'run' number of chips = INT|200|1d6/2|N|10|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|APTR Reflex Chips||Chips reflex and tech based skills|0|0|N||Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Adrenaline/Endorphin Surge||Ignore Pain/Exhaustion; +1 BOD 3 times in 24 hrs|800|0|N||Chromebook 1 pg.75
 CHIPWARE|OPTION|AmbidexterityChip||Makes user ambidextrous|800|0|N||Chromebook 1 pg.75
 CHIPWARE|OPTION|Auditory Recognition I Chips||Require Amp Hearing and Sound Edit; +1|150|0|N||Chromebook 3 pg.39
 CHIPWARE|OPTION|Auditory Recognition II Chips||Require Amp Hearing and Sound Edit; +2|300|0|N||Chromebook 3 pg.39
 CHIPWARE|OPTION|Business Trip Chip||+1 Language; Culture; W/S or Business Law|800|0|N||Chromebook 1 pg.74
 CHIPWARE|OPTION|ChipLok||Locks chips in place|150|0|N||Chromebook 4 pg.15
 CHIPWARE|OPTION|Cookie Cutter||Smartgun required. Stops trigger on targets with badges (15eb)|300|0|N||Solo of Fortune pg.22
 CHIPWARE|OPTION|Courier Chip||Imprints data on users brain|600|0|N||Chromebook 1 pg.73
 CHIPWARE|OPTION|Crypto Chips||Randomly generated substitution word code 600 per|600|0|N||Chromebook 3 pg.37
 CHIPWARE|OPTION|Death Trance||1-3 minutes to enter. Medtech 25+ to detect life|1000|0|N||Chromebook 1 pg.75
 CHIPWARE|OPTION|Digi-Tone ID||Used with cyberaudio to recognise phone no.|70|0|N||Chromebook 1 pg.73
 CHIPWARE|OPTION|Dream Suppressant Chip||Dream free sleep; lose 1 EMP every week of use|300|0|N||Chromebook 4 pg.16
 CHIPWARE|OPTION|Facedown Chip||+1 bonus on Facedown rolls|150|0|N||Chromebook 4 pg.16
 CHIPWARE|OPTION|Fish N' Chips||Appetite control device|85|0|N||Chromebook 1 pg.75
 CHIPWARE|OPTION|Home Chip||Very Difficult Cool/Resist Torture roll to resist|940|0|N||Chromebook 4 pg.16
 CHIPWARE|OPTION|Honey Pilar||Seductress supreme|1000|1d6/2|N||When Gravity Fails pg.53
 CHIPWARE|OPTION|Increased Neural Feedback||1/2 time to 'chip in'; burns out in 24 hours|400|0|N||Chromebook 1 pg.75
 CHIPWARE|OPTION|Independent Action Chip||Independent action for each arm. Amb +2 optics|250|0|N||Chromebook 1 pg.75
 CHIPWARE|OPTION|James Bond||COOL +1 (max 11); user is a top British agent|1000|1d6/2|N||When Gravity Fails pg.53
 CHIPWARE|OPTION|Kick Ass||COOL +2 (11); EMP -2 (1); enhances aggression.|2000|1d6/2|N||When Gravity Fails pg.53
 CHIPWARE|OPTION|M.O. Chips||On eyes/no answer for INT 15+ roll|1200|0|N||Chromebook 1 pg.73
 CHIPWARE|OPTION|MRAM MemoryChips||Chips INT and other cognitive skills|0|0|N||Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Maximum Lover Chip||+2 Seduction|1300|0|N||Chromebook 1 pg.74
 CHIPWARE|OPTION|Memory Compression||3 skills; skill level +3 total; Cost is range of 200-400eb|300|0|N||Chromebook 1 pg.74
 CHIPWARE|OPTION|Mind Games||Over 300 games available|40|0|N||Chromebook 1 pg.74
 CHIPWARE|OPTION|Navigation/Orientation Chip||Requires Phone Splice/Radio Link; accurate 5m|250|0|N||Chromebook 3 pg.37
 CHIPWARE|OPTION|Perfect Soldier||COOL +3 (11); EMP -2 (1); INT -2/+2 non-/combat|2000|1d6/2|N||When Gravity Fails pg.53
 CHIPWARE|OPTION|Photo Memory RAM Chip||INT roll +2 [15+] to get a specific memory|1600|0|N||Chromebook 1 pg.74
 CHIPWARE|OPTION|Police Visual Rec Chip||Visual ID's on criminals and licenses; cost per level|200|0|N||Chromebook 1 pg.76
 CHIPWARE|OPTION|Poser Impersonation Chip||Specific Know [subject] +2; Perform +1; Cost range 900-1100eb|1000|0|N||Chromebook 1 pg.73
 CHIPWARE|OPTION|Programmable Chipware||Provides basic knowledge of a procedure|50|0|N||Chromebook 1 pg.74
 CHIPWARE|OPTION|Redundancy Loop||Will screw up at a crucial moment. Cost is 50-75% of the chip|0|0|N||Chromebook 1 pg.75
 CHIPWARE|OPTION|Security Chips||Eraseable/destroyable chips; cost per 75 chips|50|0|N||Chromebook 1 pg.73
 CHIPWARE|OPTION|Shape Recognition||Picks out chosen object; requires Time Square +|500|0|N||Chromebook 4 pg.15
 CHIPWARE|OPTION|Personal Grooming +1||MRAM Skill Chip|100|0|N||Cyberpunk 2020 pg.0
 CHIPWARE|OPTION|Personal Grooming +2||MRAM Skill Chip|200|0|N||Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Personal Grooming +3||MRAM Skill Chip|300|0|N||Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|SomaWare Sleep Induction Chip||Normal sleep (after 15 uses COOL 15+ to sleep)|400|0|N||Chromebook 3 pg.37
 CHIPWARE|OPTION|Space Chip||Space Survival +2; Highrider Culture +1|900|0|N||Chromebook 1 pg.74
 CHIPWARE|OPTION|Special Operative Chip||Language +1; Geography; and one other skill|900|0|N||Chromebook 1 pg.73
 CHIPWARE|OPTION|Speedreading Chip||Requires optic. Half to a third normal reading time|250|0|N||Chromebook 4 pg.16
 CHIPWARE|OPTION|Stress Chip||COOL +1 for morale; +1 EMP interaction|350|0|N||Chromebook 1 pg.75
 CHIPWARE|OPTION|Stutter Chipping||Won't shoot designated (1 turn) friendlies|310|0|N||Chromebook 3 pg.38
 CHIPWARE|OPTION|Subdermal Moddy Rack||Holds 3 Moddy and 10 Daddy; difficult to spot|200|1d6|M||When Gravity Fails pg.59
 CHIPWARE|OPTION|Sunny Day||Feel happy; +4 vs Intimidation; +2 Resist Torture|2000|1d6/2|N||When Gravity Fails pg.54
 CHIPWARE|OPTION|Tourism Chip||Language +1; Culture +1; General Knowledge +1|750|0|N||Chromebook 1 pg.74
 CHIPWARE|OPTION|Visual Recognition Chips||INT+chip+1d10+Skill. Tech; Corp; Rocker; etc; cost per level|100|0|N||Chromebook 1 pg.76
 CHIPWARE|OPTION|Weaponmasters Martial Art Chip||ArasakaTe; and Thamoc available (max +3); cost per level|270|0|N||Chromebook 3 pg.38
 CHIPWARE|OPTION|Xarghis Khan||EMP 1; COOL 10; user wants to torture and kill|4000|1d6/2|N||When Gravity Fails pg.53
 CYBERAUDIO||Biomechanical Cyberaudio||10% chance affected by EMP weapons; 3 options|1000|2|M|3|When Gravity Fails pg.62
 CYBERAUDIO||Cyberaudio||Basic hearing module (6 option spaces)|500|2d6|M|6|Cyberpunk 2020 pg.87
 CYBERAUDIO||Soviet Cyberaudio||Only 2 option spaces; 50% chance of -1 ATTR +1d6HC|100|2d6|M|2|Chromebook 4 pg.7
 CYBERAUDIO||Spectrum Cyberaudio: Omnidirectional||+3 Awareness/Notice; -1 balance; Looks goofy|3000|3d6|MA||Chromebook 3 pg.35
 CYBERAUDIO||Spectrum Cyberaudio: Outer Ear||+1 Awareness/Notice; -1 balance;|1000|3d6|MA||Chromebook 3 pg.35
 CYBERAUDIO||Spectrum Cyberaudio: inner/outer Ear||+1 Awareness/Notice; -1 balance;|1500|3d6-2|MA||Chromebook 3 pg.35
 CYBERAUDIO|OPTION|Amplified Hearing|AH|+1 Awareness using auditory cues. SWx2|200|1|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Bug Detector|BD|Detects taps; bugs up to 3m. 60% effective|200|0.5|N||Cyberpunk 2020 pg.87
 CYBERAUDIO|OPTION|Digital Recording Link|DR|Transmits sounds to a digital recorder|100|0.5|N||Cyberpunk 2020 pg.88
