  name|type|category|subcategory|wa|conc|avail|damage|ammo|shots|rof|rel|range|cost|source
  Arasaka Restraint Caster|P|EXOTICS||-1|J"|P|Tangle|15mm restraint|4|1|ST|25|200|BH pg.6
  Arasaka Stingray II|RIF|EXOTICS||0|N"|C|3d6||9|2|VR|100|750|SF pg.34
  Arasaka WXA Computer-Aimed Weapon|HVY|EXOTICS||0|N"|R|6d6+2|7.62mm|500|20|VR|400|3000|BH pg.6
  Avante P-1135 Needlegun|P|EXOTICS||0|P"|P|0|Needlegun|15|2|ST|40|200|BH pg.6
  Dynatech Industries Hand Taser|EX|EXOTICS||0|P"|E|Stun-2||12|1|VR|1|50|BH pg.6
  Enertex AKM Power Squirt|P|EXOTICS||-2|J"|C||Drugs|50|1|VR|10|15|BH pg.6
  Kendachi Dragon|EX|EXOTICS||0|J"|P|2d6||4|1|ST|4|660|BH pg.6
  Malorian Sliver Gun|P|EXOTICS||0|J"|P|2d6x1d6/2|Sliver|7|2|UR|40|375|BH pg.7
  Militech Electronics Laser Cannon|RIF|EXOTICS||0|N"|R|1-5d6|Laser|10|2|UR|200|8000|BH pg.7
  Militech Electronics Taser|P|EXOTICS||-1|J"|C|Stun-2|Stun|10|1|ST|10|60|BH pg.7
  Militech Electronics Taser II|P|EXOTICS||0|P"|C|Stun-3||4|2|VR|0|100|BH pg.7
  Militech MTL-1 'Manhunter'|HVY|EXOTICS||3|N"|P|8d10||4|1|ST|1000|3500|SF pg.34
  Militech Stun Knuks|MEL|EXOTICS||0|P"|C|Stun -2||6|1|ST|1|100|chr4 pg.62
  Militech UAW (Underwater Assault Weapon)|SMG|EXOTICS||1|L"|P|2d6+1|UAW Spear|10|3|VR|50|1500|SF pg.34
  Mitsubishi Taser|P|EXOTICS||0|J"|P|Stun-1||12|1|ST|5|100|BH pg.7
  Monowire|MEL|EXOTICS||0|P"|R|3d6||0|0|VR|0|60|BH pg.7
  Mystic Technologies Arrow Gun|EX|EXOTICS||1|J/L"|C|3d6||1|1|ST|70|1000|BH pg.7
